Date,Time PST,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2020-01-21,00:15,47.4,55.7,42.0,81.3,0.02,SE@12.6,18.9,0.35,0,45.8,46.1,19.1,29.64,47.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,00:30,47.0,55.4,42.4,83.8,0.01,SE@11.7,16.4,0.45,0,45.8,46.0,19.1,29.63,47.0,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,00:45,47.1,55.6,43.0,85.6,0.02,SE@10.7,16.7,0.49,0,45.7,46.0,19.1,29.62,47.1,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,01:00,47.2,55.7,43.2,86.0,0.01,SE@11.6,17.5,0.52,0,45.7,46.0,19.1,29.61,47.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,01:15,46.9,55.6,43.3,87.2,0.0,SE@11.0,15.7,0.55,0,45.7,46.0,19.1,29.6,46.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,01:30,46.6,55.5,43.3,87.9,0.01,SE@10.8,15.3,0.6,0,45.7,46.0,19.1,29.59,46.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,01:45,46.5,55.3,42.9,87.3,0.01,SE@11.4,20.7,0.63,0,45.7,46.0,19.1,29.59,46.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,02:00,46.4,55.2,42.9,87.3,0.02,SE@11.6,16.4,0.67,0,45.7,45.9,19.0,29.59,46.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,02:15,46.4,55.2,43.0,87.8,0.0,SE@12.7,18.2,0.68,0,45.6,45.9,19.0,29.58,46.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,02:30,46.4,55.3,43.2,88.6,0.01,SE@13.3,21.4,0.67,0,45.6,45.9,19.0,29.59,46.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,02:45,46.8,55.7,43.7,88.8,0.02,SE@12.1,22.8,0.68,0,45.6,45.9,19.0,29.61,46.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,03:00,46.5,55.5,43.7,89.5,0.02,SE@10.6,16.7,0.68,0,45.6,45.9,18.9,29.62,46.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,03:15,46.3,55.3,43.7,90.7,0.02,SE@11.4,19.6,0.71,0,45.6,45.9,18.9,29.62,46.3,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,03:30,45.9,55.1,43.6,91.6,0.02,S@7.6,15.3,0.73,0,45.6,45.9,18.9,29.63,45.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,03:45,45.9,55.1,43.8,92.2,0.0,S@6.1,12.8,0.75,0,45.6,45.9,18.9,29.64,45.8,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,04:00,46.4,55.6,44.3,92.4,0.0,SE@7.8,16.4,0.76,0,45.6,45.8,19.0,29.64,46.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,04:15,46.4,55.8,44.1,91.6,0.0,S@7.3,22.1,0.74,0,45.5,45.8,19.0,29.64,46.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,04:30,46.6,55.8,43.7,89.4,0.0,S@7.7,16.7,0.73,0,45.5,45.8,19.1,29.64,46.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
2020-01-21,04:45,47.2,56.2,43.7,87.8,0.0,S@8.0,14.2,0.71,0,45.5,45.8,19.2,29.64,47.3,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 19:01:43.324448
