Date,Time PST,1.5m Air Temp °F, 9m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 10m Wind Direction, 10m Wind Speed mph, 10m Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2 in. SWP kPa, 8 in. SWP kPa,Location,Station ID,Station Name,Download Timestamp
2008-10-30,00:15,39.4,,32.4,75.7,0.0,0,1.2,2.8,,,,48.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,00:30,39.1,,30.5,71.2,0.0,0,1.6,3.9,,,,48.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,00:45,35.5,,28.4,74.9,0.0,0,0.8,2.4,,,,48.5,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,01:00,34.8,,28.3,76.9,0.0,0,0.7,2.8,,,,48.4,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,01:15,34.5,,28.4,78.1,0.0,0,1.6,3.1,,,,48.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,01:30,33.3,,27.2,78.3,0.0,0,0.1,1.4,,,,48.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,01:45,33.5,,26.8,76.3,0.0,0,1.3,2.4,,,,48.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,02:00,32.8,,27.2,79.5,0.0,0,0.0,2.1,,,,48.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,02:15,33.2,,26.9,77.4,0.0,0,1.7,3.1,,,,48.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,02:30,33.3,,27.3,78.4,0.0,0,1.5,3.9,,,,47.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,02:45,33.5,,26.2,74.3,0.0,0,0.8,2.4,,,,47.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,03:00,33.3,,28.3,81.5,0.0,0,0.0,1.4,,,,47.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,03:15,33.0,,29.1,85.5,0.0,0,1.4,2.4,,,,47.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,03:30,32.9,,27.1,78.9,0.0,0,0.8,2.8,,,,47.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,03:45,32.3,,27.0,80.5,0.0,0,0.4,2.1,,,,47.5,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,04:00,32.8,,26.7,77.9,0.0,0,0.9,2.4,,,,47.5,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,04:15,32.2,,27.4,82.3,0.0,0,0.4,2.8,,,,47.4,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,04:30,33.7,,26.7,75.2,0.0,0,1.8,3.9,,,,47.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,04:45,34.2,,27.2,75.0,0.0,0,1.0,2.8,,,,47.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,05:00,34.2,,26.6,73.4,0.0,0,0.7,2.1,,,,47.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,05:15,33.4,,27.3,78.0,0.0,0,0.6,2.4,,,,47.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,05:30,33.5,,28.0,79.9,0.0,0,0.7,2.4,,,,47.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,05:45,34.1,,28.5,79.7,0.0,0,0.5,2.8,,,,46.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,06:00,34.9,,28.5,77.3,0.0,0,0.9,2.8,,,,46.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,06:15,35.7,,28.3,74.1,0.0,0,1.0,2.8,,,,46.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,06:30,35.1,,28.9,77.8,0.0,0,0.6,2.4,,,,46.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,06:45,35.2,,28.8,77.1,0.0,2,0.9,2.8,,,,46.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,07:00,35.6,,28.7,75.5,0.0,11,0.3,2.1,,,,46.5,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,07:15,35.1,,29.5,79.7,0.0,19,0.2,2.1,,,,46.4,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,07:30,36.4,,29.1,74.7,0.0,33,1.1,3.1,,,,46.4,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,07:45,37.0,,28.8,71.9,0.0,55,1.0,2.8,,,,46.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,08:00,38.2,,30.9,74.7,0.0,66,0.5,1.7,,,,46.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,08:15,39.6,,33.4,78.0,0.0,75,0.9,2.8,,,,46.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,08:30,42.1,,34.7,74.9,0.0,92,2.0,3.1,,,,46.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,08:45,43.1,,35.3,73.5,0.0,112,2.7,4.6,,,,46.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,09:00,43.8,,35.7,72.8,0.0,142,3.7,6.0,,,,46.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,09:15,44.6,,35.9,71.5,0.0,175,3.6,5.3,,,,45.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,09:30,45.2,,35.7,69.0,0.0,191,2.8,4.9,,,,45.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,09:45,46.5,,35.4,65.0,0.0,201,3.5,6.0,,,,45.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,10:00,47.3,,34.7,61.5,0.0,311,4.6,6.4,,,,45.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,10:15,49.2,,35.3,58.5,0.0,459,6.3,9.6,,,,45.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,10:30,49.8,,34.8,56.1,0.0,352,6.3,9.2,,,,45.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,10:45,50.7,,35.7,56.2,0.0,396,6.1,9.6,,,,45.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,11:00,50.9,,34.5,53.1,0.0,357,7.5,10.7,,,,45.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,11:15,51.4,,34.5,52.3,0.0,326,6.9,11.0,,,,45.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,11:30,52.5,,34.8,50.8,0.0,483,8.4,12.8,,,,45.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,11:45,53.0,,34.6,49.3,0.0,418,8.2,11.7,,,,45.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,12:00,53.9,,34.6,47.7,0.0,482,8.2,12.4,,,,45.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,12:15,54.0,,34.6,47.6,0.0,397,7.8,11.4,,,,45.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,12:30,54.4,,35.0,47.7,0.0,406,7.7,11.7,,,,45.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,12:45,54.0,,34.9,48.3,0.0,356,7.9,12.4,,,,45.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,13:00,54.9,,35.2,47.4,0.0,394,7.7,11.7,,,,46.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,13:15,55.1,,34.4,45.4,0.0,302,8.9,13.2,,,,46.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,13:30,55.7,,34.4,44.5,0.0,354,8.2,13.5,,,,46.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,13:45,54.7,,35.5,48.2,0.0,198,7.9,12.1,,,,46.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,14:00,54.6,,36.4,50.0,0.0,171,7.4,10.3,,,,46.4,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,14:15,54.9,,35.7,48.2,0.0,145,7.2,10.7,,,,46.5,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,14:30,54.9,,35.8,48.4,0.0,107,7.2,11.0,,,,46.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,14:45,54.8,,36.5,49.8,0.0,98,5.5,9.2,,,,46.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,15:00,54.7,,35.6,48.4,0.0,81,6.1,8.5,,,,46.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,15:15,54.1,,35.5,49.2,0.0,68,5.6,9.9,,,,47.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,15:30,54.0,,36.0,50.4,0.0,48,7.2,9.9,,,,47.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,15:45,54.0,,35.0,48.3,0.0,45,6.8,9.6,,,,47.4,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,16:00,54.3,,35.3,48.4,0.0,31,5.8,9.6,,,,47.5,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,16:15,53.9,,36.4,51.3,0.0,20,4.9,6.4,,,,47.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,16:30,53.6,,36.8,52.8,0.0,11,5.3,9.2,,,,47.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,16:45,53.2,,37.0,54.0,0.0,4,4.5,7.4,,,,48.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,17:00,53.1,,37.0,54.4,0.0,1,4.3,6.7,,,,48.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,17:15,53.0,,37.0,54.3,0.0,0,4.8,7.4,,,,48.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,17:30,52.5,,37.6,56.7,0.0,0,5.1,6.4,,,,48.4,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,17:45,52.5,,37.1,55.6,0.0,0,4.7,7.8,,,,48.5,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,18:00,52.1,,37.2,56.6,0.0,0,3.4,4.2,,,,48.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,18:15,51.7,,37.4,57.9,0.0,0,3.2,5.3,,,,48.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,18:30,52.5,,36.6,54.6,0.0,0,3.5,6.0,,,,48.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,18:45,52.4,,36.5,54.5,0.0,0,2.6,4.9,,,,48.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,19:00,51.6,,37.0,57.4,0.0,0,2.7,4.2,,,,49.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,19:15,51.0,,37.5,59.6,0.0,0,3.5,4.6,,,,49.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,19:30,50.4,,37.6,61.3,0.0,0,4.0,5.3,,,,49.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,19:45,51.8,,37.6,58.3,0.0,0,5.2,8.5,,,,49.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,20:00,52.2,,37.0,56.0,0.0,0,5.6,9.2,,,,49.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,20:15,52.4,,37.0,55.6,0.0,0,9.0,14.6,,,,49.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,20:30,53.0,,36.7,53.7,0.0,0,9.6,15.0,,,,49.4,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,20:45,52.7,,37.0,54.9,0.0,0,8.4,11.7,,,,49.4,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,21:00,52.7,,37.1,55.2,0.0,0,10.0,15.3,,,,49.5,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,21:15,52.8,,37.2,55.3,0.0,0,8.4,12.8,,,,49.5,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,21:30,52.7,,37.5,56.1,0.0,0,9.1,13.5,,,,49.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,21:45,53.0,,36.8,54.1,0.0,0,6.3,10.7,,,,49.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,22:00,52.0,,37.9,58.6,0.0,0,5.1,8.9,,,,49.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,22:15,51.2,,38.1,60.7,0.0,0,2.7,4.9,,,,49.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,22:30,51.6,,38.2,60.1,0.0,0,3.9,5.7,,,,49.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,22:45,51.2,,38.4,61.2,0.0,0,4.4,8.2,,,,49.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-30,23:00,52.0,,37.5,57.7,0.0,0,5.5,8.2,,,,49.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,23:15,52.1,,37.5,57.4,0.0,0,3.0,5.3,,,,49.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,23:30,50.8,,38.1,61.6,0.0,0,2.7,3.9,,,,49.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,23:45,50.6,,38.6,63.4,0.0,0,2.9,3.9,,,,49.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,24:00,49.9,,39.4,67.0,0.0,0,4.0,5.3,,,,49.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,00:15,50.4,,39.4,65.7,0.0,0,4.2,6.0,,,,49.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,00:30,51.0,,39.2,63.8,0.0,0,4.1,6.7,,,,49.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,00:45,51.1,,39.5,64.2,0.0,0,4.3,7.4,,,,49.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,01:00,52.4,,38.4,58.8,0.0,0,10.6,15.7,,,,49.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,01:15,51.7,,39.9,64.1,0.0,0,7.7,12.1,,,,49.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,01:30,51.0,,39.6,64.7,0.0,0,7.7,11.4,,,,49.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,01:45,51.6,,39.1,62.2,0.0,0,9.4,16.0,,,,49.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,02:00,52.1,,39.4,61.8,0.0,0,9.4,14.2,,,,49.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,02:15,53.0,,38.7,58.1,0.0,0,10.1,15.0,,,,49.9,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,02:30,52.6,,39.1,59.9,0.0,0,11.5,18.9,,,,50.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,02:45,52.4,,38.9,59.9,0.0,0,10.7,18.2,,,,50.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,03:00,53.2,,38.0,56.1,0.0,0,10.8,15.7,,,,50.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,03:15,51.9,,39.5,62.5,0.0,0,7.3,10.7,,,,50.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,03:30,51.0,,40.8,68.0,0.0,0,6.5,10.3,,,,50.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,03:45,50.3,,41.2,70.7,0.0,0,7.4,10.3,,,,50.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,04:00,50.2,,41.1,70.8,0.0,0,6.5,12.1,,,,50.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,04:15,51.0,,40.3,66.5,0.0,0,6.1,12.8,,,,50.0,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,04:30,51.3,,39.9,64.9,0.0,0,8.5,13.2,,,,50.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,04:45,51.3,,39.5,63.8,0.0,0,7.1,12.1,,,,50.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,05:00,51.6,,39.2,62.4,0.0,0,7.8,13.5,,,,50.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,05:15,51.4,,39.7,64.1,0.0,0,8.5,13.9,,,,50.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,05:30,50.6,,40.3,67.8,0.0,0,6.6,10.7,,,,50.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,05:45,50.8,,40.0,66.3,0.0,0,5.4,9.2,,,,50.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,06:00,51.6,,38.9,61.6,0.0,0,4.4,7.1,,,,50.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,06:15,52.2,,38.6,59.8,0.0,0,5.6,10.3,,,,50.1,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,06:30,52.4,,38.5,58.8,0.0,0,6.8,10.3,,,,50.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,06:45,52.3,,38.8,59.9,0.0,1,6.5,9.2,,,,50.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,07:00,52.0,,39.6,62.5,0.0,3,6.0,9.2,,,,50.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,07:15,52.5,,39.1,60.2,0.0,9,7.1,11.0,,,,50.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,07:30,52.9,,38.9,58.7,0.0,16,5.6,8.9,,,,50.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,07:45,51.8,,40.4,65.0,0.0,17,3.1,6.0,,,,50.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,08:00,51.5,,41.1,67.5,0.0,26,2.7,4.6,,,,50.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,08:15,50.6,,42.0,72.1,0.0,28,3.4,5.3,,,,50.2,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,08:30,50.9,,42.1,71.8,0.0,49,2.1,5.3,,,,50.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,08:45,51.4,,42.6,71.7,0.0,64,3.6,5.3,,,,50.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,09:00,51.7,,41.8,68.7,0.0,48,3.8,6.4,,,,50.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,09:15,51.9,,41.2,66.8,0.0,47,4.0,6.4,,,,50.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,09:30,52.2,,41.9,67.6,0.0,59,2.5,3.1,,,,50.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,09:45,53.8,,43.2,67.4,0.0,71,2.8,3.9,,,,50.4,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,10:00,52.6,,43.4,70.6,0.0,92,2.6,4.6,,,,51.3,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,10:15,53.4,,43.4,68.6,0.01,82,1.6,3.1,,,,50.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,10:30,52.7,,43.4,70.4,0.0,74,1.2,2.8,,,,50.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,10:45,53.0,,43.5,69.9,0.0,86,1.0,2.8,,,,50.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,11:00,52.3,,44.6,74.8,0.0,128,2.6,4.2,,,,50.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,11:15,52.7,,43.7,71.4,0.0,76,2.3,3.9,,,,50.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,11:30,52.2,,45.0,76.3,0.0,101,2.3,3.1,,,,50.6,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,11:45,52.4,,44.5,74.4,0.0,129,1.5,2.8,,,,50.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,12:00,52.3,,44.7,75.1,0.0,73,1.9,3.5,,,,50.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,12:15,52.1,,45.0,76.4,0.0,56,1.4,3.5,,,,50.7,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
2008-10-31,12:30,52.5,,45.1,75.7,0.0,137,1.9,6.4,,,,50.8,,,,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-15 20:13:42.947702
